id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,sqft_living15,sqft_lot15
7203600040,62.5,3,1.5,1.99,5.978,1.5,1,2.1,6.221
7129301001,67.5,4,2.75,2.67,6.78,2,0,2.4,5.989
1454600156,86,5,3.25,4.5,9.648,2,0,2.78,21.132
3124059023,195.5,3,1.75,3.33,12.566,1,1,3.73,16.56
3420069055,35,4,2.25,1.57,499.571,1,0,1.7,181.708
7856400410,110,4,2.25,3.31,8.54,1,0,3.45,9.566
7352200025,119,2,1.75,2.08,8.112,1,1,2.03,8.408
868001790,130,3,1,2.04,7.936,1,0,2.3,10.08
5288200230,67.5,4,1.75,2.46,5.75,1.5,0,1.76,4.83
121039083,62.9,3,1.75,1.46,12.367,2,1,1.97,18.893
7805450560,96,4,2.5,3.11,11.397,2,0,3.11,11.586
2818100060,127.5,4,2,2.85,7.861,1,0,2.81,8.087
9541600060,79.9,5,2.75,2.5,19.783,1,0,1.7,15.375
7767000060,190,5,4.25,6.51,16.471,2,0,4.48,16.471
868002015,132.6,3,2.25,2.96,8.33,1,0,2.96,8.84
321100260,89.6,5,2.75,2.52,16.1,1,0,2.76,16.988
3577000116,68,4,1,2.2,12.137,1,0,3.25,17.153
579002220,80.8,3,2.5,2.55,6.24,1,0,2.18,5.2
2424059116,74,3,2.25,3.44,44.374,2,0,3.47,40.185
579003645,75,3,1.75,2.28,7.8,1,0,2.28,5.2
7558800570,36.7,3,1.75,2,12.669,1,0,1.58,12.055
269001331,130.8,5,2.5,3.2,7.863,1,0,2.64,7.68
7774200070,72.5,4,2.5,2.75,13.95,1,0,2.46,13.95
521049200,81.9,3,2.75,3.176,13.391,2,0,3.47,12.779
7779200105,94.5,4,2.25,2.42,9,1,0,2.4,9.035
6117502220,157.5,3,3,2.61,22.672,1.5,1,2.81,22.672
3505100126,125,3,3,3.76,8.5,2.5,0,2.61,5.5
7922900030,85.1,3,2.75,2.66,10.35,1,0,2.82,10.043
5154700060,166.2,4,2.75,3.52,19.2,1,1,2.45,7
8859000045,54.5,4,2.75,2.18,8.48,1,0,2.24,8.497
7567600030,75,5,1.75,2.64,13.29,1,1,2.4,11.942
8923100125,123.458,5,3.25,3.24,6.551,1.5,0,2.74,9.3
3761100045,300,4,4.25,4.85,12.445,2,1,3.35,12.21
9536601331,42,4,2,2.28,10.319,1,0,2.28,9.767
5119400075,95,3,3.25,3.05,18.892,1,1,1.17,70.973
624069035,275,4,4,4.13,5.575,2,1,2.98,5.575
7129302800,42,3,1.5,1.78,5,1,0,1.78,7.5
3585900045,125,5,2.75,2.96,28.3,1,0,2.94,23.25
5569700075,96.8,6,2.75,3.61,17.58,1,0,2.89,14.06
486000520,137,2,2.25,2.46,16.94,1.5,0,2.26,6.851
2303900045,158,4,2.5,4.57,74.487,2,0,3.81,74.487
1120069036,32.5,3,2.25,1.57,43.35,1,0,1.57,220.849
2623039082,77,3,3.5,2.05,21.744,2,1,2.3,12.2
7784400070,58.5,3,1.75,1.74,9.5,1,0,2.11,9.45
9523102447,68.85,3,1.75,1.76,4.125,1.5,0,1.76,4
5288200260,59.7,2,1.75,2.47,4.6,1,0,1.79,5.175
8920100041,81.5,4,1.75,2.97,14.88,1,0,3.31,13.388
4107100204,213.5,4,3.25,3.86,17.82,1,0,4.59,23.76
5350201180,166.5,4,3.75,3.45,8.395,2,0,3.18,5.183
3220079017,43.2,5,2.75,2.06,329.903,1.5,0,2.24,220.232
9523102420,53.5,1,1,0.92,5,1,0,1.89,5
9138100350,68.5,4,2,2.29,6,1.5,0,2,3.15
3760500730,108.55,4,2.75,3.01,10.83,2,0,3.01,10.65
7922900040,107.5,4,3,3.6,9.2,1,0,2.7,9.775
7490000040,253.5,5,3.25,3.73,10.626,1,0,4.18,19.11
6619900120,67,5,3.5,3.86,9.6,1,0,2.44,9.6
6383000150,55,3,1,1.63,6.009,1,0,2.12,6.009
2424049029,310,6,4.25,6.98,15.682,3,0,3.93,18.367
9808630120,77,3,2.5,2.19,2.658,2,0,2.315,2.538
3867400175,85,2,1.5,1.8,4.144,1,0,2.09,4.173
3222049044,83.5,3,3,2.79,12.523,2,1,2.99,11.476
223039229,78.75,2,2.5,2.39,6.928,2,0,2.39,12.852
2521059042,45.6,5,2.75,2.72,193.406,1,0,2.82,248.292
9322800230,125,4,2.5,2.96,20.24,2,0,2.5,14.96
2594200230,68,2,1,1.02,8.442,1,0,2.55,10.323
1822039138,60,2,2.25,2.32,18.919,2,1,1.61,18.919
1724069043,73.9888,3,2.5,2.42,43.177,2,0,3.74,8.717
9285800330,73.2,3,3.75,2.67,6.517,2.5,0,2.01,6.073
5093301285,158,4,2.5,2.9,10.5,1,0,2.9,9.201
2722059275,53.6,3,2.75,2.29,34.548,2,0,0.399,275.299
4104500191,117,3,2.75,2.89,12.13,2,0,2.415,11.538
823000174,92,3,2.25,3.65,5.353,2,0,1.95,4.97
3121069038,35.5,3,2.5,2.62,78.843,1,0,2.33,130.244
2346800180,62,5,1,2.23,16.8,1.5,0,2.73,18.4
2013802060,50,2,1,1.76,27.332,1,1,2.59,16.63
1251200155,100,4,3.5,2.99,4.2,2,0,2.39,4.2
1068000559,127.5,4,1.75,3.72,8.448,1,0,2.54,7.064
3528900401,164,3,3.25,3.14,5.445,2,0,2.95,5.25
4039700870,116,5,1.75,2.87,9.68,1,0,2.94,9.729
6837700175,77.5,3,1.75,3.52,12.35,1,0,2.14,7.8
3220200040,171.25,3,3.25,2.94,5.432,3,0,4.4,5.5
1795800040,135,4,3.25,5.37,20.388,2,0,2.77,22.27
5461300150,179.5,5,2.75,2.88,20.274,1,0,3.75,20.22
9530100085,79,4,1.75,1.82,6.137,1.5,0,2.13,5.1
3024059044,99,3,1.75,1.81,24.586,1,0,3.54,14.2
3751606606,26.25,3,1.75,2.259,26.831,1.5,0,1.98,15.794
7855800730,94,4,2.5,3.09,9.238,1,0,2.69,8.5
3625059043,330,5,4.75,6.2,13.873,2,1,2.94,13.525
3867400180,71.5,2,1,1,3.513,1,0,1.93,4.92
7784400035,80.2,2,1.75,2.11,8.7,1,0,2.12,9.5
2009003136,32.5,1,1,1.22,12.426,1,0,2.77,22.27
723039189,51.9,3,1.75,1.56,26.099,1,0,1.76,19.687
1373800330,111.5,4,2.5,3.69,11.191,1,0,3.46,8.16
7558800620,60,2,1.75,1.55,7.764,1,1,1.69,11.62
1720069029,34.999,3,1,1.35,165.092,1,0,2.3,211.266
6169900790,240,6,4.5,5.48,10.8,2,0,2.97,7.2
632000065,198.9,3,2.5,2.88,13.5,1,0,3.71,20.486
7936500109,223,3,3,3.62,28.064,2,1,2.55,34.713
7278100515,129.5,2,2.5,2.91,19.449,2,1,2.54,23.598
7855000325,105,4,3,3.08,10.757,2,0,2.81,10.757
3623500408,260,3,3,3.41,16.015,2,1,3.76,16.572
7855400630,103,5,2.5,3.05,8.2,1,0,2.97,8.792
3627800050,137.5,5,4,3.76,22.763,1,0,3.73,11.201
9541800190,91.5,5,2.5,3.49,18.85,1,0,2.69,11.625
1370800680,129.5,3,2.75,3.45,5.35,1.5,0,2.91,5.35
8924600020,153.5,4,4.5,5.77,10.05,1,0,2.95,6.7
1370800225,215.25,4,3.25,3.84,6.214,1.5,0,3.28,5.915
5493110020,195,4,2.75,4.02,18.745,2,0,3.15,20.897
3625059109,105.1,4,3,2.92,33.976,1,0,2.97,15.21
1929300415,71,4,1.75,2,6,1,0,2.61,4.377
8644500010,71.5,3,1.75,1.65,7.276,1.5,0,2.3,8.088
2425049063,364.09,4,3.25,4.83,22.257,2,1,3.82,25.582
1732800780,306.5,5,3,4.15,7.5,2.5,0,2.25,4.05
9536600010,52,4,0.75,1.96,8.277,1,1,1.94,8.402
59000250,72,3,1.5,2.18,5,1,0,2.07,5
3999300290,85,3,3.5,2.62,11.148,2,0,2.59,10.796
777100005,165,3,2.25,2.75,6.203,1,1,2.57,7.009
7855300460,100,3,2.75,2.37,8.9,1,0,2.84,8.956
1024000050,91.5,3,2.75,3.39,7,1,0,1.77,6.5
624069108,320,4,3.25,7,28.206,1,1,4.913,14.663
1818800235,110,4,2.75,3.41,7.75,1,0,3.08,8.525
2346800461,112,5,1.5,2.54,6.66,2,0,2.46,9
5026900235,185,4,3.25,2.91,1.88,2,0,3.1,8.2
3582900280,112,5,2.75,4.4,18.5,1,0,3.29,19.257
6116500290,79.995,6,2.75,3.04,36.721,1,0,2.42,21.075
6758700050,81.2,3,2,1.97,3.42,2,0,1.77,3.42
8653600050,57.2,3,1.75,1.85,22.767,1.5,0,2.7,17.906
5135000050,96,4,2.5,2.82,5.934,1,0,2.23,6
7856660130,125,5,2.75,3.71,13.874,1.5,0,3.37,13.874
284000095,120,2,2.25,2.16,17.861,2,1,2.66,18.53
2579500101,138.7,4,3.5,4.01,10.88,2,0,3.53,17.31
567000020,80,2,1,1.57,5,1.5,0,1.76,3
9542100005,112.5,5,3,3.69,10.26,1,0,3.16,14
7856640460,95,4,2.75,3.8,12.2,2,0,3.71,14.796
7935000280,219.5,5,3.25,5.21,35.765,2.5,0,2.59,10.25
623039026,64.5,2,2.25,2.77,11.884,1,0,2.31,17.097
2891400380,44.995,3,1.75,2.07,96.703,1,0,1.82,117.612
720079001,66.7,3,1.75,3.32,478.288,1.5,0,2.96,217.8
3585900080,107,6,3.25,3.56,21.4,2,0,3.56,24.338
5152960080,37.5,3,2.75,2.2,9.6,1,0,2.68,9.896
5215200050,75,3,2.5,2.96,69.351,2,1,2.35,41.433
1284000010,33,4,1.75,1.55,50.094,1,0,1.72,50.094
1338600225,197,8,3.5,4.44,6.48,2,0,4.44,8.64
7893801760,36.8,3,1.75,2.12,11.34,1,0,1.83,8.65
1250201640,77.5,3,2,2.54,7.2,1.5,0,2.04,5.9
3585901025,173.5,3,2.5,4.31,32.093,1.5,0,3.81,26.4
868001435,222.5,3,3,3.45,16.74,1,0,3.22,12.528
1370802455,105,4,4.5,3.18,4.606,2,0,2.11,5.323
3751606514,27,2,1,1.78,81.021,1,0,1.78,26.723
3585901085,200.5,6,4.5,3.81,28.176,1,0,3.81,26.4
2929600035,41,3,1,2.71,19,2,0,2.15,19
5592900205,38,2,1.75,1.8,7.191,1,0,1.94,7.4
7352200450,205,4,3.25,3.58,19.989,1.5,1,2.41,6.389
424049039,57,3,2,1.64,2.808,1,0,2.27,5.328
3761100180,159.5,4,2.5,2.98,13.341,1.5,1,2.34,19.81
8952900245,85,6,3.25,4.92,20.59,1,0,3.7,14.994
46100504,202.7,4,3.75,4.1,22.798,1.5,0,3.88,18.73
7003200120,52.8,2,0.75,0.84,40.642,1,1,1.85,64.069
2769600035,61.2,4,2.5,2.68,3.626,1.5,0,1.95,4.5
1455600062,68.9,3,2.5,2.08,9.612,1,0,2.56,10.202
3625059152,330,3,3.25,4.22,41.3,1,1,3.81,30.401
1250202990,88.1,5,3,2.51,4.125,1.5,0,2.19,5.415
2820069048,46.8,4,2.5,2.48,176.418,1.5,0,1.64,112.384
7923250090,150,3,3,3.11,9.015,1,0,3.15,11.447
9536601295,34,3,1.75,1.73,11.986,1,0,2.49,9.264
8964800975,165,4,2.75,3.19,14.904,1,0,2.6,11.195
6613000930,295,4,3.25,3.89,25.47,2,1,4.14,19.281
3222049087,57,1,1,0.72,7.54,1,1,1.12,9.736
2485000076,105,4,3.25,3.68,8.58,1,0,2.7,9.1
4073200757,69,3,2,1.89,6.62,1,0,2.59,7.188
8925100115,115,2,2.25,2.32,9.3,1.5,0,2.79,9.3
669000210,116.5,3,2.5,2.67,5,2,0,2.32,5
7204200025,122.5,4,2.5,3.12,49.456,2,1,2.03,32.181
1959701800,214.75,3,3.5,4.66,5.5,2,0,2.98,5.5
6909700040,81.3,4,2.75,3.37,6.675,1,0,2.25,5.55
1925069066,170,3,2.75,2.81,18.731,2,1,3.12,14.81
1455100355,167.5,3,2.5,3.49,8.343,2,1,2.99,13.104
2175100205,129.889,5,2.25,2.69,10.8,1,0,3.38,9.134
2425049066,192,4,2.5,3.07,34.412,1,0,3.78,27.94
7856400300,141.16,2,2.5,3.18,9.4,2,0,3.76,9.45
7856400300,150.5,2,2.5,3.18,9.4,2,0,3.76,9.45
5216200090,38.5,2,1,0.83,26.329,1,1,2.03,27.338
9322800210,87.995,4,2.25,3.5,13.875,1,0,2.96,15
6613001241,141.5,4,3,3.11,4.408,2.5,0,3.25,5.669
594000115,61.5,2,1.75,2.04,28.593,1.5,1,2.04,35.124
4131900042,200,5,4.25,6.49,10.862,2,0,3.29,14.08
3271800870,122.5,4,2.25,2.02,5.8,1,0,3.1,5.8
3271800910,135.692,4,3.5,4.27,5.8,2,0,3.1,5.8
284000025,141,2,2,2.18,18.525,1,1,2.48,21.503
